Arabic Sentence,English Translation
كنا نقضي أوقاتا ممتعة معا وأعطيته رقم هاتفي المحمول وراح يحدثني كل ليلة;,We were having fun together and I gave him my cell phone number and he talked to me every night;
تكفكف رماد سجائري من على المنضده;,My ash stops off the table;
لذا تقيم كثير من الشعوب أعيادا للضحك في مقدمتها الاحتفالات الشعبية بعيد الربيع، والأعراس، والمسارح الساخرة;,"So many people have laughing holidays in the forefront of popular Springs celebrations, weddings, and ironic theatres;"
أليس السكوت أصعب من الكلام؟;,Isn't silence harder than speech?
إن كتب الفقه التي يرجعون إليها عادة مملوءة بالأحاديث الواهية المنكرة;,The literature to which they refer is usually filled with depravity;
رسمك جميل ويدل على حس فني راق,"Your drawing is beautiful, and it's a good sense of art."
بعد عبور الكوبري مباشرة ستجد محلا أبيض الواجهة,"Right after the bridge, you'll find a white front shop."
كانوا يملكون باخرتي شحن تعملان على خط الإسكندرية;بيروت,"They had two shipping bolts running on the Alexandria line, Beirut."
قدمت الفرقة العديد من اللوحات الفنية المتنوعة والأغاني بمشاركة عدد من المطربين والمطربات، بالإضافة إلى العديد من القصائد الشعرية;,"The band has produced a variety of paintings and songs with the participation of a number of singers and singers, as well as several poetry poems;"
صاح الرجل: أيها الناس من أراد النجاة فليتبعني,"Man: People who want to survive, follow me."
أن إندونيسيا هي أكبر بلاد العالم الإسلامي من حيث التعداد;السكاني,Indonesia is the largest country in the Islamic world in terms of population.
أرجوك أن تسرع بالمجيء إلينا;,Please hurry and come to us.
جسدي لا يستجيب لرغبتي، عجز مطبق.. أعجز عن تحريك قدمي، قدماي ليستا ملكي;,"My body doesn't respond to my desire, my impotence... I can't move my feet, my feet aren't mine;"
فريق طبي ينجح في فصل توأمتين نيجيريتين واستغرقت الجراحة نحو ٥ ساعات;,A medical team was successful in separating two Nigerian twins and the surgery lasted about five hours;
نرفع له القبعة احتراما وتقديرا لمواقفه المشرفة ولاتخاذه للقرار الذي يصب في مصلحة البلد;,We pay him respect and appreciation for his honourable positions and for his decision in the interest of the country;
أتقدم بأجمل التهاني وأرق الأماني للجميع بمناسبة العيد,I offer my best congratulations and best wishes to everyone for Christmas.
قالوا: القسوة من سمات الذكورة;,They said: cruelty is a masculinity;
ازدادت الأمور تعقيدا بين محمود وزوجته,Things got more complicated between Mahmoud and his wife.
تشرب الشاي في كوب مع ثلاث ملاعق من السكر وبدون حليب,You drink tea in a cup with three spoons of sugar and no milk.
عادت نيسان إلى نقطة الصفر وأصبحت خلال سنوات قليلة صانع السيارات الأكثر ربحا في العالم,"April came back to square one, and in a few years, she became the world's most profitable car maker."
يتميز مسلمو أميركا بارتفاع مستوياتهم التعليمية وقدراتهم التنظيمية، وتوحدهم من خلال منظمات;رئيسة كبرى تمثلهم,"The Muslims of America are characterized by their high educational standards and organizational capabilities, united by organizations; a major leader representing them."
قالت انها تدين وتستنكر تزييف الحقائق;,She condemns and denies the falsification of facts;
يقفز فرحا كطفل وجد لعبته الضائعة;,He jumps as a child and finds his lost game;
اشتهرت المدن والقرى الفلسطينية بفن التطريز على القماش منذ سنين;,Palestinian cities and villages have been known for embroidery for years;
لاحظت أن عينيه تعكسان دوما تعبيرا ساخرا وكأنه يشاهد شيئا مسليا;,I noticed that his eyes always reflect a cynical expression like he's watching something funny;
انه مجنون لا يعي ما يفعل;,He's crazy. He doesn't know what he's doing;
لا يجوز لأحد أن يشك في ذلك,No one can doubt that.
شهدت مدينة سانت جالين السويسرية اليوم السبت مظاهرة شارك فيها المئات من معارضي العولمة وذلك قبيل انعقاد منتدى دافوس الاقتصادي الأسبوع القادم,"Today, the Swiss city of St. Gallen witnessed a demonstration in which hundreds of opponents of globalization took part, just before the Davos Economic Forum next week."
سافرت مع أسرتها لقضاء الشهر المتبقي من العطلة في أسبانيا,She traveled with her family for the rest of the month off in Spain.
وفي تكريت قتل عراقي وجُرح آخران في انفجار سيارة مفخخة أمام مبنى حكومي;,"In Tikrit, one Iraqi was killed and two others injured in the explosion of a car bomb in front of a government building;"
ستجد معظمهم رافضا لهذه الفكرة جملة وتفصيلا,You'll find most of them to reject this idea in a word and in detail.
وقف إلى جانبها مهرج في ثياب ملونة;,Standing next to her is a clown in colored clothes;
أكد أنه سيساعد على الوصول الى السلام العادل المنشود,He confirmed that he would help bring about the just peace that he wanted.
كاد عمار أن ينفجر لولا أنه ضبط أعصابه ونظر إلى محدثته فابتسمت ابتسامة عريضة;,"Amar almost blew up if he hadn't caught his nerves and looked at his talk, and she smiled."
أرى أن هناك تربصا بالكتابة الجديدة بل إن بعض النقاد والأكاديميين تحديدا يقومون بتكسير عظام;الكتاب;الجدد,"I see that there's a line in the new writing, and some critics and academics, in particular, are breaking the bones of the new book."
انه شعب عظيم قدم الكثير من التضحيات وهو;جدير بالحرية,"He's a great people who made a lot of sacrifices, and he's free."
وجود مثل هذه المنتخبات الكبيرة يساعد كثيرا على الحضور الجماهيرى وعودة الروح للملاعب,The presence of such large elections greatly helps the mass audience and the return of the soul to playgrounds.
فالليل لا يكون ليلا نعرف ما له من خصائص وما فيه من جمال لو لم يعقبه صبح;,Night is not night. We know its characteristics and beauty if it is not followed by morning;
منح مساعدات مالية فورية للمغرب وموريتانيا لوقف تدفق المهاجرين;,To grant immediate financial assistance to Morocco and Mauritania to stem the flow of migrants;
انعكس النور على سطح ماء البحيرة الساكن,The light is reflected on the surface of the lake's living water.
حاول أن يبعث في الجنود شيئا من الحماس والأمل,He tried to send in soldiers some enthusiasm and hope.
الجامعات الامريكية تحتضن المواهب وترعى الرياضيين وتمنحهم المنحة الدراسية والرعاية المالية,"American universities embrace talent, care for athletes, grant scholarships and financial care."
كان من عادته التحدث إلى نفسه بصوت عال;,He used to talk to himself out loud;
قال: الشرطة في كل مكان، والعدالة غائبة,"He said, ""The police are everywhere, justice is gone."""
المبادرة تأتي غداة إنهاء مبعوث اللجنة الرباعية حول الشرق الأوسط توني بلير زيارته الأولى للمنطقة;,"The initiative comes on the eve of the end of the Quartet Envoy on the Middle East, Tony Blair, his first visit to the region;"
قال ان حصوله على المنصب القاري يمثل علامة مهمة من التميز والتقدير;,He said that his acquisition of continental office was an important sign of distinction and appreciation;
قررت اربع جماعات معارضة قاطعت انتخابات ٢٠٠٢ المشاركة في هذا الاقتراع;,Four opposition groups that boycotted the 2002 elections decided to participate in this ballot;
أحس بأنه على وشك أن يبكي;,I feel like he's about to cry.
سبب المجاعة هو الجفاف وقلة الماء,The cause of famine is drought and lack of water.
وقد تفرقت عناصر الشرطة القضائية في مختلف الشوارع والأزقة المعنية، ليتم رصد ومراقبة المارة,"The judicial police have been dispersed across the streets and alleys concerned, monitoring and monitoring the passers-by."
مازالت الشركات عازفة عن تعيين موظفين جدد وتركز على خفض النفقات لمواجهة ارتفاع قيمة اليورو أمام الدولار,Companies are still reluctant to hire new employees and focus on cutting costs to face the appreciation of the euro to the dollar.
إن لم يتصف الغني بالتلواضع فإن جبال الكبر تنمو في قلبه,"If the rich don't fit, the big mountains grow in his heart."
اذهب واحجز لي تذكرة في قطار الثامنة والنصف,Go book me a ticket on the 8:30 train.
كان يحسن الاستماع إلى حديثها، وكان يستمتع بما تقول,"He'd listen to her talk, and he'd enjoy what she said."
أحسست بيد تلمس كتفي,I felt a hand touching my shoulder.
اعلنت دائرة العمل الامريكية إن طلبات البطالة قد انخفضت هذا الاسبوع لتصل الى ٣٠٨ آلاف,"The U.S. Labour Department has announced that unemployment applications have dropped this week to 308,000."
لا ينصح بغسل اللحوم بالماء قبل حفظها في الثلاجة,He doesn't recommend washing meat with water before keeping it in the fridge.
لم أعش فى الإسكندرية ولكن زرتها مرارا مع المرحوم أبي,"I didn't live in Alexandria, but I visited her over and over with the late father."
ان مصر في طريقها للبحث عن شركاء جدد والانفتاح بصورة أكبر على العالم من خلال شراكات;واستثمارات;جديدة,Egypt is on its way to look for new partners and to open up more to the world through partnerships and new investments.
قد سجلت اللجنة التي عينها الوزير رامسفيلد ٥٥ حالة من حالات الإساءة للمعتقلين في العراق,The committee appointed by Minister Rumsfeld recorded 55 cases of abuse of detainees in Iraq.
تعاني المؤسسات التعليمية من نقص كبير في التجهيزات وتحتاج إلى كثير من الإصلاحات,Educational institutions suffer from a serious lack of equipment and require a lot of repairs.
لا استطيع ان أنضم الى حزبكم، لي ظروفي الخاصة,I can't join your party. I have my own circumstances.
نقل الشاب إلى المستشفى كان مستحيلا، لأن مشاركته في التظاهرة ستنكشف، وعندها فإنه سيتعرض لغضب رجال الأمن;,"The young man's transfer to the hospital was impossible, because his participation in the demonstration would be revealed, and then he would be exposed to the anger of the security officers;"
رحل في صمت وقور بعد أن تعذب وتأسى كثيرا من;غدر من كان يظنهم أشقاء,He left in silence and dignity after she was tortured and deeply grieved by the treachery of those who thought they were brothers.
يريد ان يبرر عملا سيئا قام به,He wants to justify a bad job he did.
نؤمن بحق المواطنة وحق المواطنة حق مكفول لكل أبناء الشعب بالمساواة والعدل والإنصاف بلا تمييز,"We believe that the right to citizenship and the right to citizenship is a right guaranteed to all people by equality, justice and equity without discrimination."
تساهم الأفلام الهندية في الترويج لأزيائنا وتقريبها من أذواق الشباب في الغرب;,Indian films contribute to the promotion of our costumes and bring them closer to the tastes of young people in the West;
هل تتعارض رغبتك مع رغبة والديك؟,Does your desire conflict with that of your parents?
التبرع بالدم يعود بالكثير من الفوائد الصحية على الشخص المتبرع,Donating blood brings a lot of health benefits to the donor.
هذه كلها تفسيرات غير موضوعية وحزبية وضيقة جدا,"These are all subjective, partisan and very narrow explanations."
لم يظهر على الساحر الخوف والرعب، فنادى الجن بأعلى صوته، ولكن دون فائدة;,"The magician didn't show fear and terror, so he called the jinn in his loudest voice, but to no avail;"
على الحكومة ان تشن حملة جديدة لمكافحة الفساد,The government should launch a new anti-corruption campaign.
كان إنسانا قلقا تمكن من تحويل قلقه إلى إبداع,He was a worried human being who managed to turn his anxiety into creativity.
لم تنعم القرية بليلة هدوء واحدة;,The village didn't have one night of quiet;
الفرصة موجودة للتوصل إلى حل وسط يرضي;جميع;الأطراف,The opportunity exists to reach a compromise that will satisfy all; the parties.
لم تستطع أن تستوعب الافكار الجديدة;,You couldn't understand the new ideas;
لا يوجد أي منفذ نستطيع المرور منه;,There's no way we can get through it.
ثبت علميا أن زيت الزيتون يحمي من أمراض تصلب الشرايين,It has been scientifically proven that olive oil protects against arterial insemination.
يجب أن يكون غلاف الألبوم سميكا حتى يتحمل الاستعمال لسنين طويلة;,The cover of the album must be thick in order to withstand long years of use;
لا أستطيع ملء فراغ حياتك، لا أستطيع أن أحبك,I can't fill the void of your life. I can't love you.
فكم الخسائر التي تنتج ماديا على هذا العلاج، علاوة على الخسائر النفسية والاجتماعية,"How much material damage is caused by this treatment, as well as psychological and social losses?"
كان دائما يظهر أمامي بمظهر الرجل الشجاع الذي لا يخاف,He always appeared in front of me as the brave man who wasn't afraid.
نسأل االله ان يوفقنا جميعا الى ما يحبه ويرضاه، وان يسدد دروبنا على طريق الخير;,"We ask God to guide us all to what he loves and pleases, and to set our paths on the path of good;"
جوهر الإنسانية الإسلامية هو العلاقة بين الخالق والمخلوق بمعنى أنه يوجد مسافة بينهما;,The essence of Islamic humanity is the relationship between the Creator and the creature in the sense that there is a distance between them;
إذا كان لديك وقت كاف يمكنك الجلوس في وضع مريح للتأمل والقراءة التي تعتبر من أكثر الطرق المفيدة لإبعاد التفكير,"If you have enough time, you can sit in a comfortable situation of meditation and reading, which is one of the most useful ways to keep thinking out."
كنا في الطريق المؤدية إلى شاطئ البحر;,We were on the way to the seashore;
حضرت سيارة الإسعاف لتنقله إلى المستشفى,I brought the ambulance to take him to the hospital.
نظر في الساعة الرقمية المثبتة في لوحة السيارة فكانت تسير في الثامنة والنصف,"He looked at the digital clock installed on the license plate, and she was walking around 8:30."
قال الشيخ: هذا كذب وتزوير وخداع;,"The sheikh said, ""That's a lie, a fraud, and a deception;"
هذه هي الاثنان والعشرون حرفا التي تشتر ك فيها العربية مع العبرية والآرامية والسريانية;والحبشية;وهكذا,"These are the 22 letters in which you buy Arabic with Hebrew, Aramaic, Syriac, and Ivory, and so on."
اننا نرى الضوء في نهاية النفق المظلم وعلينا السير للخروج;منه,We see the light at the end of the dark tunnel and we have to walk out of it.
نفذت الخطة المتفق عليها تماما,Implemented the fully agreed plan
موديل فستانها كان كلاسيكيا جدا وغير مناسب,Her dress model was very classic and inappropriate.
سكت تحت وطأة نظرات زوجته,Shut up under his wife's eyes.
هناك خطة متكاملة لتطوير صناعة الجلود في مصر والارتقاء بجودة المنتجات الجلدية وزيادة صادراتها خلال المرحلة المقبلة,"There is an integrated plan to develop Egypt &apos; s leather industry, upgrade the quality of leather products and increase exports in the next phase."
في اطار احكام التصرف في مياه الري تم اتباع عدة مبادئ منها حماية الموائد المائية السطحية من زحف مياه البحر أو مياه السباخ الداخلية,"Within the framework of irrigation water management provisions, several principles have been followed, including the protection of surface water tables from crawling into sea water or indoor plumbing water."
كانوا يحضرون لشن هجوم على مركز للشرطة في ده شوبان بولاية زابل,"They were preparing an attack on a police station in De Chopin, Zabul State."
الأهل يتقدمون بأحر التهاني للابنة آمنة المأمون بمناسبة تفوقها في امتحانات الاساس ويتمنون لها التوفيق وعقبال الماجستير والدكتوراة,Parents extend their warmest congratulations to a safe and secure daughter for her excellence in the base exams and wish her luck with her master &apos; s and doctorate &apos; s comments.
إنهم يصارعون من أجل تثبيت استقلالهم,They're struggling to establish their independence.
هذه إنجازات وهمية لا أساس لها من الصحة والواقع,These are false achievements that have no basis in truth and truth.
لا أفهم لماذا يكره بعض الناس غيرهم دونما سبب,I don't understand why some people hate others for no reason.
صار الغضب عدوى تنتقل من شخص لآخر;,Anger has become an infection transmitted from one person to another;
هذا ما حدث دون كذب أو مبالغة,That's what happened without lying or exaggerating.
لن أتخلى عن الأمر مهما تكن العواقب;,I'm not giving it up no matter what the consequences;
هو سجن يكذب كل الشعارات التي تضمن حقوق السجين وإدماج السجناء;,It's a prison that lies all the slogans that guarantee the prisoner's rights and the integration of prisoners;
قال أستاذ جامعي عراقي إن الشعب العراقي على مر التاريخ كان ومازال موحدا;,An Iraqi university professor said that throughout history the Iraqi people have been and continue to be united;
ظلت طوال سنوات تقاوم المرض بتفاؤل كبير,"For years, she's been fighting the disease with great optimism."
ها قد جاء عصر الحداثة والرقي ليضع حدا للجهل والتخلف,Here comes the age of modernity and progress to put an end to ignorance and underdevelopment.
مكاتب برنامج الأمم المتحدة الإنمائي الموجودة في ٢٠ دولة عربية تضع مكافحة الايدز في مقدمة أولوياتها,UNDP offices in 20 Arab States place the fight against AIDS at the top of their priorities
يجب احترام ارادة الناخبين والاستماع اليها وتطبيقها,"The will of the electorate must be respected, listened to and applied."
أكد لنا في البداية أن الرابطة لا تتخذ قراراتها استنادا الى ما يقال في الشارع;,He first assured us that the League does not make decisions based on what is said on the street;
كانت اجواء اللقاء ايجابية وتحدثنا عن مجمل الوضع في لبنان وعن المشاكل القائمة والوضع في المنطقة,"The atmosphere of the meeting was positive and we talked about the overall situation in Lebanon, the problems that exist and the situation in the region."
هل أستطيع الاحتفاظ بسيارتي القديمة؟,Can I keep my old car?
تدفقت دموعي وكأنها سيل جارف;,My tears flowed like a flood;
ذلك يساعد على سريان سوائل الجسم والمخاط، ويعوض السوائل المفقودة نتيجة لكثرة التعرق,"It helps run the body fluids and mucus, and replaces the fluids lost as a result of the high sweating."
الدول العظمى تعتقد ان من حقها استخدام الاسلحة;الذرية;وانتاجها,Great Powers believe they have the right to use atomic weapons and produce them.
ليس لديهم الوقت لفهم مفردات لهجة لا يعرفونها,They don't have time to understand dialects they don't know.
يعود سبب الطلب على السيارات الكورية إلى رخص أسعارها مقارنة بأسعار السيارات الأوروبية,The demand for Korean cars is due to their price permits compared to those of European cars
أنا متأكدة من أنه لا يجوز التعميم في مثل هذه الأمور,I'm sure you can't generalize in such matters.
كل هذه الشائعات لا أساس لها من الصحة,All these rumors are unfounded.
الطاقم الطبي مكون من طبيبين مكسيكيين وثلاثة أميركيين,The medical staff is made up of two Mexican doctors and three Americans.
إذا كان هناك قمة ستعقد يجب التشاور حولها ويجب الإعداد;لها,"If there is a summit to be held, it must be consulted and prepared."
العقلية الشرقية تفسر هذا التصرف على أنه جحود من الأبناء,The Eastern mind interprets this behavior as ungrateful of children.
سمعت صرخة نسائية عالية قادمة من أسفل,I heard a high female scream coming from downstairs.
كم عدد المرضى الوافدين على المستشفى هذه السنة؟,How many patients are in the hospital this year?
الصراع مع العدو الصهيوني أثبت أن الاتفاقيات هي سراب لا طائل من ورائه,The conflict with the Zionist enemy has proved that the agreements are a mirage of no use.
كان الآلهة الصغار هم من يقوم بألاعمال الشاقة فيكدون في شق الانهر والقنوات والتنقيب عن المعادن,"It was the young gods who worked hard, and they labored in the rivers and the canals and the metal exploration."
طالب السفير الدول العربية الغنية بسرعة التبرع لدعم ومساندة اللاجئين العراقيين,The Ambassador called on the rich Arab States to contribute rapidly to support and support Iraqi refugees.
لدي عقدة ضد أي قوة سياسية,I have a knot against any political force.
عشرات العراقيين سقطوا قتلى وجرحى بانفجار أربع سيارات مفخخة استهدف تجمعات وقرى للطائفة الأزيدية بالقرب من الحدود العراقية السورية,Dozens of Iraqis were killed and wounded by the explosion of four car bombs targeting the concentration and villages of the Azediyah community near the Iraqi-Syrian border.
في مجتمعاتنا المرأة هي من يغفر أغلب الأحيان,"In our societies, women are often forgiven."
حرب الثقافة لن تزول لأنها لم تنته معنا بعد;,The war of culture won't go away because it's not over with us yet;
أرحب بكم مشاهدينا الكرام أينما كنتم برفقتنا فأهلابكم إلى حلقة جديدة من السلطة الرابعة,"I welcome our distinguished viewers, wherever you are with us, to bring you to a new circle of fourth power."
اضحك بكل قوتك فإن ذلك يساعدك على التنفس وعلى امتصاص قدر أكبر من الاكسجين;,"Laugh with all your strength, it helps you breathe and absorb more oxygen;"
كنت أنظر من النافذة فرأيت امرأة تحمل قفص عصافير,"I was looking out the window, and I saw a woman with a bird cage."
وصف هذه المدينة بأنها مكان ساحر يجسد أحلامه الطفولية,He described this city as a charming place that embodies his childhood dreams.
اليوم أصبح شبح هذه الحرب بعيد جدا، العراق ليس على حافة الحرب,"Today the ghost of this war is far away, Iraq is not on the brink of war."
خبأ المال في باطن الأرض تحت حجر كبير;,Hiding money in the ground under a big stone;
كان يفكر في الغد وما ينطوي عليه من مفاجآت,He was thinking about tomorrow and his surprises.
علينا ألا نختلف أو نتسبب في أي انقسام أو انشقاق لحزبنا الجديد;,We must not disagree or cause any division or division of our new party;
لا يجوز التنازل عن هذا العقد كليا او جزئيا الا بعد الحصول على موافقة كتابية;,This contract may be waived in whole or in part only after written approval has been obtained;
هم خليط من الناس من مختلف الأعمار,They're a mixture of people of all ages.
وصل رجال الأمن للقبض على الجناة لكنهم لم يجدوا أحدا,"Security came to arrest the perpetrators, but they didn't find anyone."
زار الوزير عددا من الأحياء و المنازل المتضررة من هطول الأمطار خلال الأيام الماضية;,The Minister visited a number of neighbourhoods and houses affected by rainfall over the past few days;
أهم مميزات الخس أنه يحد من ظهور البقع اللونية على البشرة خاصة الحمراء منها، كما يستخدم كمنظف,"The most important feature of lettuce is that it limits the appearance of color stains, especially red ones, and is used as a detergent."
أدى ارتفاع أسعار البنزين إلى تراجع مبيعات السيارات في أوروبا خلال الشهر الماضي,Higher gas prices led to a decline in car sales in Europe over the past month.
أخبرني أنه يعتزم السفر إلى الشام,He told me he intended to travel to the mole.
يناضل ويكافح ضد جميع اعمال القمع والتفرقة وانتهاكات حقوق الانسان;,"Fighting and fighting against all acts of repression, segregation and violations of human rights;"
جلسنا على العشب وأسندنا ظهرنا إلى جذع الشجرة,We sat on the lawn and set our backs on the tree trunk.
لم أمتلك الجرأة الكافية لفعل ذلك;,I didn't have the guts to do that;
انه نبي يأتيه الوحي من السماء,He's a prophet from heaven.
أسرته فى الأصل من الريف;,His family is originally from the countryside;
يسقط الطاغية! أوقفوا التعذيب,Stop the torture!
سوف تكون كاتب قصة جيدا لأن أسلوبك في سرد القصة سلس;ومنتظم;,You'll be a good storywriter because your style of telling the story is smooth and regular;
هل يعقل أن يبعث االله لعباده بأديان مختلفة يتصارع الناس عليها,Is it possible that God sends his worshippers different religions that people are wrestling with?
مصيرنا مرتبط بالبقاء هنا وترسيخ كياننا إلى الأبد,Our destiny is bound to stay here and establish our own forever.
التصور الآخر هو أن يبقى هذا القطر محتلا إلى أمد غير محدود,The other scenario is that this diameter remains occupied indefinitely.
أصحاب المنتجات يريدون إيصال إعلاناتهم لأكبر عدد أيضا,"The producers want to get their ads as many as they can, too."
إنها منغلقة على نفسها بحكم تربيتها المتشددة وعادات وتقاليد بيئتها الصغيرة,She's closed to herself by virtue of her strict upbringing and the customs and traditions of her small environment.
في كل يوم ترمى آلاف الأطنان من النفايات البشرية والصناعية والزراعية في أنهار الصين وبحيراتها,"Every day thousands of tons of human, industrial and agricultural waste are thrown into China's rivers and lakes."
الشعب العراقي سوف يلعن كل من يتسبب في تأجيج الحرب الأهلية وضياع العراق;,The Iraqi people will curse all those who fuel the civil war and the loss of Iraq;
لم أترك العمل، أنا سافرت لأنني محتاج للعلاج,I didn't quit work. I traveled because I needed treatment.
عندما أنظر خلفى إلى السنوات الطويلة التى مرت; يتأكد لى أننى اتخذت قرارات كثيرة خاطئة;,"When I look back at the long years that have passed, I'm sure I've made many wrong decisions."
رأيت لصا يتسلل ليسرق ثمرة من هذه الثمار,I saw a thief sneaking around to steal a fruit of these.
كان وضعه الصحي غير مستقر;,His health condition was unstable;
نعرب عن اسفنا من ردة فعل الحكومة التي لم تدافع عن القانون,We regret the reaction of the government that didn't defend the law.
أنا سأكون حلقة الوصل بين كل الموجودين,I'll be the link between all the people.
كتب الطبيب المناوب لكل واحد منهم وصفة طبية,The doctor on duty wrote each one of them a prescription.
يلطخ اللوحات بهذا الهراء وهاتان المرأتان الحمقاوان;تعتبرانه;عبقريا,"The paintings are stained with this crap, and these two stupid women consider him a genius."
دفع الشبان صديقهم العريس أحمد ليجلس على كرسي خسبي ثقيل,"The young men pushed their friend, the groom Ahmed, to sit in a heavy laird's chair."
تؤثر عمليات غسيل الأموال على حركة المبادلات المشروعة,Money-laundering affects the movement of legitimate exchanges.
أضاف أن عوامل كثيرة مثل فصل الشتاء البارد والأعاصير المدمرة وتراجع أسعار صرف الدولار ستؤدي حتما إلى أسعار نفط قياسية;,"Many factors such as cold winters, devastating hurricanes and declining dollar exchange rates would inevitably lead to record oil prices;"
لم يكن العرب يختلفون في ذلك عمن سبقهم أو من لحقهم,The Arabs were no different than the ones before them or the ones who followed them.
قال ان سائقي تلك الشاحنات لا يلتزمون بالقوانين المرورية,He said the drivers of those trucks don't abide by traffic regulations.
اشار ايضا الى ان اسباب قصور القلب النهائي تعود الى امراض مكتسبة تصيب عضلات القلب;,He also pointed out that the causes of terminal heart failure were due to acquired diseases affecting the muscles of the heart;
كيف يقومون بتدريبهم على إحداث ذلك التغيير؟,How do they train them to make that change?
واصل الطرفان إتاحة الفرصة بصورة منتظمة لممثلي اللجنة الدولية للصليب الأحمر لتفقد سجونهما,The parties continued to provide regular opportunities for representatives of the International Committee of the Red Cross to inspect their prisons
يحس ألما في رقبته وصداعا خفيفا في رأسه,He feels pain in his neck and a slight headache.
ابتدأت العصافير بالزقزقة استعدادا لنهار آخر,The birds began to cheeky in preparation for another day.
تتميز المنطقة بالطقس المعتدل طوال العام,The region is characterized by moderate weather throughout the year.
قرر تمديد المدة لتسعة شهور أخرى,He decided to extend it for another nine months.
التقصير في أداء الأمانة وظلم الناس يضيع حقوقهم,"Failure to perform honesty and injustice, people lose their rights."
لقد كنت دائما شديد الإعجاب بالثقافة الغربية وبرسالتها;التنويرية,"I've always been very impressed with Western culture and its message, Enlightenment."
وإذا سد أخوكم حاجة بعض فقراء القرية فمن يسد حاجة البقية؟,"And if your brother meets the needs of some of the village's poor, then who does?"
كانت الطائرة تحلق على علو منخفض جدا;,The plane was flying at very low altitude;
لقد سافر لأنه غير مرتاح في هذا البلد، يريد أن يجرب حظه في الخارج مثله مثل الآخرين;,"He traveled because he was uncomfortable in this country, wanting to try his luck abroad like everyone else;"
هناك ١٤ ألف طفل من مجهولي النسب هم نتاج هذا الزواج من النوع,"There are 14,000 children of unknown parentage who are the product of this kind of marriage."
هناك تداعيات خطيرة لهذا الحادث;,There are serious repercussions to this incident;
لا تيأس إذا تعثرت أقدامك وسقطت في حفرة واسعة، فسوف تخرج منها وأنت أكثر تماسكا,"Don't give up. If you trip your feet and fall into a big hole, you'll get out of it while you're more solid."
مصر كلها تستأهل أن ينظر ناسها إليها ويحبوها;ويشعروا بأنها تحبهم,"All of Egypt deserves its people to look at it and love it, and they feel like it loves them."
هذا المشروع يستهدف ادخال البسمة والفرحة والسرور على الاطفال,This project aims to bring smile and joy and joy to the children.
هناك كثير من الألفاظ العربية في اللغات الأوروبية,There's a lot of Arabic in European languages.
لا استطيع ان أمنع نفسي من التفكير في هذه الفكرة الخبيثة,I can't stop myself from thinking about this malignant idea.
سقطت نقود بخيل من الطابق الرابع فهب مسرعا إلى أسفل لإحضارها إلا أنه لم يجدها;,"Cheap money fell from the fourth floor, and he ran down to get it, but he didn't find it;"
العمدة فجأة قرر الانتقام مما فعله به البهى زمان، فأحيا حكاية الثأر;,"The mayor suddenly decided to take revenge for what God had done to him, so he gave life to the tale of vengeance;"
سيبويه وضع أول كتاب جامع في النحو,Sibwe put the first book in shape.
ان اعماله الخالدة ستكون بلا ريب اكبر فوز له بعد الممات,His immortal works will undoubtedly be his greatest win after death.
كتب السيرة مليئة بأسماء الصحابة وعددهم وقصصهم,"The biography books are full of company names, numbers and stories."
قال: الأعمال المنزلية من اختصاص النساء، وأنا رجل مثل أبي، والرجال لا يقومون بالأعمال المنزلية;,"He said, ""Housework is a woman's business, and I'm a man like my father, and men don't do domestic work;"
إن مربي الدواجن والعاملين في مزارع الطيور الداجنة التي تفتقر إلى تطبيق الاشتراطات الصحية والبيئية فيها هم الفئة الأكثر تعرضا لأنفلونزا الطيور,Poultry breeders and workers on poultry farms that lack health and environmental requirements are the most vulnerable to avian influenza.
امرأتك خضرة أتت إلى هنا في الصباح، وتركت دفتر الحساب عند سويسي أفندي، وراحت لأم مسعد;بائعة;الجرائد,"Your green woman came here in the morning, left the account book at Susie Effendi, and went to the mommy's ready, the saleswoman, the newspaper."
أعلنت بلجيكا التعبئة العامة وأجريت مناورات مشتركة,Belgium announced general mobilization and conducted joint exercises
القبيلة يجب ألا تتجاوز كونها كيانا اجتماعيا تحت مظلة هذا الوطن الذي يساوي دستوره بين مواطنيه جميعا بلا استثناء,"The tribe must not go beyond being a social entity under the umbrella of this country, whose constitution is equal to all its citizens without exception."
فلم السكوت على القادة المتهورين الذين تبعوا أمثال فرعون وهتلر وموسيليني؟;,"Why did he remain silent on the reckless leaders who followed the likes of Pharaoh, Hitler and Mussolini?;"
بعض الأطفال الصغار من أبناء الجالية الإسلامية في جنيف يدرسون اللغة العربية;,Some young children from the Muslim community in Geneva study Arabic;
قال ان المباراة المرتقبة ستكون حافلة بالاثارة والمتعة وعلى الجماهير عدم تفويت الفرصة هذه بمتابعة نجوم برازيل,"He said the next game would be exciting and fun, and the crowd shouldn't miss this opportunity to follow Brazil's stars."
االله يحفظك، تكرم عينك، االله يخليكي,"God save you, honor your eye, God spare you."
كنت داخل الملجأ المستهدف، استيقظت على صراخ الناس,"I was inside the targeted shelter, waking up on people screaming."
كان المريض ضعيفا سقيما لا يقدر على الحراك,"The patient was weak, sick, unable to move."
انزل قدميه على الأرض وجلس على حافة الفراش,Put his feet down and sit on the edge of the bed.
وجدت أن الخروج إلى السوق لم تعد له البهجة القديمة,I found that going out to the market was no longer his old joy.
بدأ الجليد يذوب من فوق الجبال,The ice began to melt from the mountains.
